# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
  0    7.559    0.024    0.00   2   1     1.00     0.01    0.002    23.75
  1    7.558    0.071    0.00   2   1     1.00     0.04    0.002    23.76
  2    7.555    0.119    0.01   2   1     1.00     0.06    0.002    23.78
  3    7.552    0.166    0.01   2   1     1.00     0.09    0.002    23.82
  4    7.547    0.214    0.01   2   1     0.99     0.11    0.002    23.86
  5    7.541    0.261    0.01   2   1     0.99     0.14    0.002    23.92
  6    7.534    0.308    0.01   2   1     0.99     0.16    0.002    23.98
  7    7.525    0.356    0.01   2   1     0.98     0.19    0.002    24.06
  8    7.516    0.403    0.02   2   1     0.98     0.21    0.002    24.15
  9    7.505    0.450    0.02   2   1     0.97     0.23    0.002    24.25
 10    7.493    0.497    0.02   2   1     0.97     0.26    0.002    24.36
 11    7.480    0.544    0.02   2   1     0.96     0.28    0.002    24.47
 12    7.466    0.591    0.03   2   1     0.95     0.30    0.002    24.60
 13    7.450    0.638    0.03   2   1     0.95     0.32    0.002    24.74
 14    7.434    0.685    0.03   2   1     0.94     0.35    0.002    24.89
 15    7.416    0.732    0.03   2   1     0.93     0.37    0.002    25.05
 16    7.397    0.778    0.03   2   1     0.92     0.39    0.002    25.21
 17    7.377    0.824    0.04   2   1     0.91     0.41    0.002    25.39
 18    7.356    0.871    0.04   2   1     0.90     0.43    0.002    25.57
 19    7.333    0.917    0.04   2   1     0.89     0.45    0.002    25.76
 20    7.309    0.963    0.04   2   1     0.88     0.47    0.002    25.96
 21    7.285    1.009    0.04   2   1     0.87     0.48    0.002    26.16
 22    7.259    1.054    0.04   2   1     0.86     0.50    0.002    26.37
 23    7.232    1.100    0.05   2   1     0.85     0.52    0.002    26.59
 24    7.203    1.145    0.05   2   1     0.84     0.54    0.002    26.82
 25    7.174    1.190    0.05   2   1     0.83     0.55    0.002    27.05
 26    7.144    1.235    0.05   2   1     0.82     0.57    0.002    27.29
 27    7.112    1.280    0.06   2   1     0.81     0.58    0.002    27.53
 28    7.079    1.325    0.06   2   1     0.80     0.60    0.002    27.78
 29    7.045    1.369    0.06   2   1     0.79     0.61    0.002    28.03
 30    7.010    1.413    0.06   2   1     0.78     0.63    0.002    28.29
 31    6.974    1.457    0.06   2   1     0.77     0.64    0.002    28.56
 32    6.937    1.501    0.07   2   1     0.76     0.65    0.002    28.82
