# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
  0    9.448    0.077    0.00   2   1     1.00     0.00    0.002    77.18
  1    9.447    0.232    0.00   2   1     1.00     0.01    0.002    77.17
  2    9.444    0.386    0.01   2   1     1.00     0.02    0.002    77.16
  3    9.439    0.540    0.01   2   1     1.00     0.03    0.002    77.15
  4    9.434    0.694    0.01   2   1     1.00     0.04    0.002    77.13
  5    9.426    0.848    0.01   2   1     1.00     0.05    0.002    77.10
  6    9.417    1.002    0.01   2   1     1.00     0.06    0.002    77.07
  7    9.407    1.156    0.01   2   1     1.00     0.07    0.002    77.04
  8    9.395    1.310    0.02   2   1     1.00     0.08    0.002    77.00
  9    9.381    1.463    0.02   2   1     1.00     0.09    0.002    76.95
 10    9.366    1.616    0.02   2   1     0.99     0.10    0.002    76.90
 11    9.350    1.769    0.02   2   1     0.99     0.11    0.002    76.85
 12    9.332    1.922    0.03   2   1     0.99     0.12    0.002    76.79
 13    9.313    2.074    0.03   2   1     0.99     0.13    0.002    76.73
 14    9.292    2.226    0.03   2   1     0.99     0.14    0.002    76.66
 15    9.270    2.377    0.03   2   1     0.99     0.15    0.002    76.59
 16    9.246    2.529    0.03   2   1     0.99     0.16    0.002    76.51
 17    9.221    2.680    0.04   2   1     0.99     0.17    0.002    76.42
 18    9.194    2.830    0.04   2   1     0.98     0.18    0.002    76.34
 19    9.166    2.980    0.04   2   1     0.98     0.19    0.002    76.24
 20    9.137    3.129    0.04   2   1     0.98     0.20    0.002    76.15
 21    9.106    3.278    0.04   2   1     0.98     0.21    0.002    76.05
 22    9.073    3.427    0.04   2   1     0.98     0.22    0.002    75.94
 23    9.040    3.575    0.05   2   1     0.97     0.23    0.002    75.83
 24    9.004    3.722    0.05   2   1     0.97     0.24    0.002    75.72
 25    8.968    3.869    0.05   2   1     0.97     0.25    0.002    75.60
 26    8.930    4.015    0.05   2   1     0.97     0.26    0.002    75.48
 27    8.890    4.161    0.06   2   1     0.96     0.27    0.002    75.35
 28    8.849    4.306    0.06   2   1     0.96     0.28    0.002    75.22
 29    8.807    4.450    0.06   2   1     0.96     0.29    0.002    75.08
 30    8.763    4.593    0.06   2   1     0.96     0.30    0.002    74.94
 31    8.718    4.736    0.06   2   1     0.95     0.31    0.002    74.80
 32    8.672    4.878    0.07   2   1     0.95     0.32    0.002    74.65
 33    8.624    5.020    0.07   2   1     0.95     0.33    0.002    74.50
 34    8.574    5.160    0.07   2   1     0.94     0.34    0.002    74.35
 35    8.524    5.300    0.07   2   1     0.94     0.35    0.002    74.19
 36    8.472    5.438    0.07   2   1     0.93     0.36    0.002    74.02
 37    8.419    5.576    0.07   2   1     0.93     0.36    0.002    73.86
 38    8.364    5.714    0.08   2   1     0.93     0.37    0.002    73.69
 39    8.308    5.850    0.08   2   1     0.92     0.38    0.002    73.52
 40    8.251    5.985    0.08   2   1     0.92     0.39    0.002    73.34
 41    8.193    6.119    0.08   2   1     0.91     0.40    0.002    73.16
 42    8.133    6.253    0.09   2   1     0.91     0.41    0.002    72.98
 43    8.072    6.385    0.09   2   1     0.91     0.42    0.002    72.80
 44    8.009    6.516    0.09   2   1     0.90     0.43    0.002    72.61
 45    7.946    6.647    0.09   2   1     0.90     0.44    0.002    72.42
 46    7.881    6.776    0.09   2   1     0.89     0.45    0.002    72.22
 47    7.815    6.904    0.10   2   1     0.89     0.46    0.002    72.03
 48    7.747    7.031    0.10   2   1     0.88     0.47    0.002    71.83
 49    7.679    7.157    0.10   2   1     0.88     0.48    0.002    71.63
 50    7.609    7.282    0.10   2   1     0.87     0.49    0.002    71.43
 51    7.538    7.406    0.10   2   1     0.86     0.50    0.002    71.22
 52    7.466    7.528    0.10   2   1     0.86     0.51    0.002    71.01
 53    7.393    7.650    0.11   2   1     0.85     0.52    0.002    70.80
 54    7.318    7.770    0.11   2   1     0.85     0.53    0.002    70.59
 55    7.242    7.889    0.11   2   1     0.84     0.54    0.002    70.38
 56    7.165    8.007    0.11   2   1     0.83     0.55    0.002    70.16
 57    7.088    8.123    0.12   2   1     0.83     0.56    0.002    69.95
 58    7.008    8.238    0.12   2   1     0.82     0.57    0.002    69.73
 59    6.928    8.352    0.12   2   1     0.81     0.58    0.002    69.51
 60    6.847    8.465    0.12   2   1     0.81     0.59    0.002    69.29
 61    6.765    8.576    0.12   2   1     0.80     0.60    0.002    69.07
 62    6.681    8.686    0.12   2   1     0.79     0.61    0.002    68.85
 63    6.597    8.794    0.13   2   1     0.79     0.62    0.002    68.63
 64    6.511    8.901    0.13   2   1     0.78     0.63    0.002    68.41
 65    6.425    9.007    0.13   2   1     0.77     0.64    0.002    68.18
 66    6.337    9.111    0.13   2   1     0.76     0.65    0.002    67.96
 67    6.248    9.214    0.14   2   1     0.75     0.66    0.002    67.74
 68    6.159    9.315    0.14   2   1     0.75     0.67    0.002    67.51
 69    6.068    9.415    0.14   2   1     0.74     0.68    0.002    67.29
 70    5.977    9.513    0.14   2   1     0.73     0.69    0.002    67.06
 71    5.884    9.610    0.14   2   1     0.72     0.69    0.002    66.84
 72    5.791    9.706    0.14   2   1     0.71     0.70    0.002    66.62
 73    5.697    9.799    0.15   2   1     0.70     0.71    0.002    66.40
 74    5.602    9.892    0.15   2   1     0.69     0.72    0.002    66.18
 75    5.506    9.983    0.15   2   1     0.68     0.73    0.002    65.96
 76    5.409   10.072    0.15   2   1     0.67     0.74    0.002    65.74
 77    5.311   10.159    0.15   2   1     0.66     0.75    0.002    65.52
 78    5.212   10.245    0.16   2   1     0.65     0.76    0.002    65.30
 79    5.113   10.330    0.16   2   1     0.64     0.77    0.002    65.09
 80    5.013   10.412    0.16   2   1     0.63     0.78    0.002    64.88
 81    4.912   10.493    0.16   2   1     0.62     0.78    0.002    64.67
 82    4.810   10.573    0.17   2   1     0.61     0.79    0.002    64.46
 83    4.707   10.650    0.17   2   1     0.60     0.80    0.002    64.25
 84    4.604   10.726    0.17   2   1     0.59     0.81    0.002    64.05
 85    4.500   10.801    0.17   2   1     0.58     0.82    0.002    63.84
 86    4.395   10.873    0.17   2   1     0.56     0.83    0.002    63.64
 87    4.290   10.944    0.17   2   1     0.55     0.83    0.002    63.45
 88    4.183   11.014    0.18   2   1     0.54     0.84    0.002    63.26
 89    4.077   11.081    0.18   2   1     0.53     0.85    0.002    63.07
 90    3.969   11.147    0.18   2   1     0.52     0.86    0.002    62.88
 91    3.861   11.211    0.18   2   1     0.50     0.86    0.002    62.69
 92    3.753   11.273    0.18   2   1     0.49     0.87    0.002    62.51
 93    3.643   11.333    0.19   2   1     0.48     0.88    0.002    62.34
 94    3.533   11.392    0.19   2   1     0.46     0.89    0.002    62.17
 95    3.423   11.449    0.19   2   1     0.45     0.89    0.002    62.00
 96    3.312   11.504    0.19   2   1     0.44     0.90    0.002    61.83
 97    3.201   11.557    0.20   2   1     0.42     0.91    0.002    61.67
 98    3.089   11.608    0.20   2   1     0.41     0.91    0.002    61.52
 99    2.976   11.658    0.20   2   1     0.40     0.92    0.002    61.37
100    2.863   11.706    0.20   2   1     0.38     0.92    0.002    61.22
101    2.750   11.752    0.20   2   1     0.37     0.93    0.002    61.08
102    2.636   11.795    0.20   2   1     0.35     0.94    0.002    60.94
103    2.522   11.838    0.21   2   1     0.34     0.94    0.002    60.81
104    2.407   11.878    0.21   2   1     0.32     0.95    0.002    60.68
105    2.292   11.916    0.21   2   1     0.31     0.95    0.002    60.56
106    2.177   11.953    0.21   2   1     0.29     0.96    0.002    60.44
107    2.061   11.987    0.21   2   1     0.28     0.96    0.002    60.33
108    1.945   12.020    0.22   2   1     0.26     0.96    0.002    60.23
109    1.829   12.051    0.22   2   1     0.25     0.97    0.002    60.13
110    1.712   12.080    0.22   2   1     0.23     0.97    0.002    60.04
