# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
  0    9.448    0.065    0.00   2   1     1.00     0.01    0.002    65.30
  1    9.447    0.196    0.00   2   1     1.00     0.02    0.002    65.30
  2    9.444    0.326    0.01   2   1     1.00     0.03    0.002    65.30
  3    9.439    0.457    0.01   2   1     1.00     0.04    0.002    65.29
  4    9.434    0.587    0.01   2   1     1.00     0.05    0.002    65.29
  5    9.426    0.718    0.01   2   1     1.00     0.06    0.002    65.28
  6    9.417    0.848    0.01   2   1     1.00     0.07    0.002    65.27
  7    9.407    0.978    0.01   2   1     1.00     0.09    0.002    65.25
  8    9.395    1.108    0.02   2   1     1.00     0.10    0.002    65.24
  9    9.381    1.238    0.02   2   1     0.99     0.11    0.002    65.22
 10    9.366    1.367    0.02   2   1     0.99     0.12    0.002    65.21
 11    9.350    1.497    0.02   2   1     0.99     0.13    0.002    65.19
 12    9.332    1.626    0.03   2   1     0.99     0.14    0.002    65.17
 13    9.313    1.755    0.03   2   1     0.99     0.15    0.002    65.14
 14    9.292    1.883    0.03   2   1     0.99     0.17    0.002    65.12
 15    9.270    2.012    0.03   2   1     0.98     0.18    0.002    65.09
 16    9.246    2.140    0.03   2   1     0.98     0.19    0.002    65.06
 17    9.221    2.267    0.04   2   1     0.98     0.20    0.002    65.03
 18    9.194    2.395    0.04   2   1     0.98     0.21    0.002    65.00
 19    9.166    2.521    0.04   2   1     0.98     0.22    0.002    64.97
 20    9.137    2.648    0.04   2   1     0.97     0.23    0.002    64.94
 21    9.106    2.774    0.04   2   1     0.97     0.24    0.002    64.90
 22    9.073    2.900    0.04   2   1     0.97     0.26    0.002    64.86
 23    9.040    3.025    0.05   2   1     0.96     0.27    0.002    64.82
 24    9.004    3.150    0.05   2   1     0.96     0.28    0.002    64.78
 25    8.968    3.274    0.05   2   1     0.96     0.29    0.002    64.74
 26    8.930    3.398    0.05   2   1     0.95     0.30    0.002    64.70
 27    8.890    3.521    0.06   2   1     0.95     0.31    0.002    64.65
 28    8.849    3.643    0.06   2   1     0.95     0.32    0.002    64.60
 29    8.807    3.765    0.06   2   1     0.94     0.33    0.002    64.56
 30    8.763    3.887    0.06   2   1     0.94     0.34    0.002    64.51
 31    8.718    4.008    0.06   2   1     0.93     0.36    0.002    64.46
 32    8.672    4.128    0.07   2   1     0.93     0.37    0.002    64.40
 33    8.624    4.247    0.07   2   1     0.93     0.38    0.002    64.35
 34    8.574    4.366    0.07   2   1     0.92     0.39    0.002    64.30
 35    8.524    4.484    0.07   2   1     0.92     0.40    0.002    64.24
 36    8.472    4.602    0.07   2   1     0.91     0.41    0.002    64.18
 37    8.419    4.719    0.07   2   1     0.91     0.42    0.002    64.13
 38    8.364    4.835    0.08   2   1     0.90     0.43    0.002    64.07
 39    8.308    4.950    0.08   2   1     0.90     0.44    0.002    64.01
 40    8.251    5.064    0.08   2   1     0.89     0.45    0.002    63.94
 41    8.193    5.178    0.08   2   1     0.89     0.46    0.002    63.88
 42    8.133    5.291    0.09   2   1     0.88     0.47    0.002    63.82
 43    8.072    5.403    0.09   2   1     0.88     0.48    0.002    63.75
 44    8.009    5.514    0.09   2   1     0.87     0.49    0.002    63.69
 45    7.946    5.624    0.09   2   1     0.86     0.50    0.002    63.62
 46    7.881    5.734    0.09   2   1     0.86     0.52    0.002    63.56
 47    7.815    5.842    0.10   2   1     0.85     0.53    0.002    63.49
 48    7.747    5.950    0.10   2   1     0.84     0.54    0.002    63.42
 49    7.679    6.056    0.10   2   1     0.84     0.55    0.002    63.35
 50    7.609    6.162    0.10   2   1     0.83     0.56    0.002    63.28
 51    7.538    6.267    0.10   2   1     0.82     0.57    0.002    63.21
 52    7.466    6.370    0.10   2   1     0.82     0.58    0.002    63.14
 53    7.393    6.473    0.11   2   1     0.81     0.59    0.002    63.07
 54    7.318    6.575    0.11   2   1     0.80     0.60    0.002    63.00
 55    7.242    6.675    0.11   2   1     0.80     0.61    0.002    62.92
 56    7.165    6.775    0.11   2   1     0.79     0.62    0.002    62.85
 57    7.088    6.873    0.12   2   1     0.78     0.63    0.002    62.78
 58    7.008    6.971    0.12   2   1     0.77     0.64    0.002    62.70
 59    6.928    7.067    0.12   2   1     0.76     0.64    0.002    62.63
 60    6.847    7.162    0.12   2   1     0.76     0.65    0.002    62.56
 61    6.765    7.256    0.12   2   1     0.75     0.66    0.002    62.48
 62    6.681    7.349    0.12   2   1     0.74     0.67    0.002    62.41
 63    6.597    7.441    0.13   2   1     0.73     0.68    0.002    62.33
 64    6.511    7.532    0.13   2   1     0.72     0.69    0.002    62.26
 65    6.425    7.621    0.13   2   1     0.71     0.70    0.002    62.18
 66    6.337    7.709    0.13   2   1     0.71     0.71    0.002    62.11
 67    6.248    7.796    0.14   2   1     0.70     0.72    0.002    62.03
 68    6.159    7.882    0.14   2   1     0.69     0.73    0.002    61.96
 69    6.068    7.967    0.14   2   1     0.68     0.74    0.002    61.89
 70    5.977    8.050    0.14   2   1     0.67     0.74    0.002    61.81
 71    5.884    8.132    0.14   2   1     0.66     0.75    0.002    61.74
 72    5.791    8.212    0.14   2   1     0.65     0.76    0.002    61.66
 73    5.697    8.292    0.15   2   1     0.64     0.77    0.002    61.59
 74    5.602    8.370    0.15   2   1     0.63     0.78    0.002    61.52
 75    5.506    8.447    0.15   2   1     0.62     0.79    0.002    61.45
 76    5.409    8.522    0.15   2   1     0.61     0.79    0.002    61.38
 77    5.311    8.596    0.15   2   1     0.60     0.80    0.002    61.31
 78    5.212    8.669    0.16   2   1     0.59     0.81    0.002    61.24
 79    5.113    8.740    0.16   2   1     0.58     0.82    0.002    61.17
 80    5.013    8.810    0.16   2   1     0.57     0.82    0.002    61.10
 81    4.912    8.879    0.16   2   1     0.56     0.83    0.002    61.03
 82    4.810    8.946    0.17   2   1     0.55     0.84    0.002    60.96
 83    4.707    9.012    0.17   2   1     0.53     0.85    0.002    60.89
 84    4.604    9.076    0.17   2   1     0.52     0.85    0.002    60.83
 85    4.500    9.139    0.17   2   1     0.51     0.86    0.002    60.76
 86    4.395    9.201    0.17   2   1     0.50     0.87    0.002    60.70
 87    4.290    9.261    0.17   2   1     0.49     0.87    0.002    60.64
