# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
  0    9.448    0.059    0.00   2   1     1.00     0.01    0.002    59.37
  1    9.447    0.178    0.00   2   1     1.00     0.02    0.002    59.37
  2    9.444    0.297    0.01   2   1     1.00     0.03    0.002    59.37
  3    9.439    0.415    0.01   2   1     1.00     0.04    0.002    59.37
  4    9.434    0.534    0.01   2   1     1.00     0.06    0.002    59.37
  5    9.426    0.653    0.01   2   1     1.00     0.07    0.002    59.37
  6    9.417    0.771    0.01   2   1     1.00     0.08    0.002    59.37
  7    9.407    0.889    0.01   2   1     1.00     0.09    0.002    59.37
  8    9.395    1.007    0.02   2   1     0.99     0.11    0.002    59.37
  9    9.381    1.125    0.02   2   1     0.99     0.12    0.002    59.37
 10    9.366    1.243    0.02   2   1     0.99     0.13    0.002    59.37
 11    9.350    1.361    0.02   2   1     0.99     0.14    0.002    59.37
 12    9.332    1.478    0.03   2   1     0.99     0.16    0.002    59.37
 13    9.313    1.595    0.03   2   1     0.99     0.17    0.002    59.37
 14    9.292    1.712    0.03   2   1     0.98     0.18    0.002    59.37
 15    9.270    1.829    0.03   2   1     0.98     0.19    0.002    59.37
 16    9.246    1.945    0.03   2   1     0.98     0.21    0.002    59.37
 17    9.221    2.061    0.04   2   1     0.98     0.22    0.002    59.37
 18    9.194    2.177    0.04   2   1     0.97     0.23    0.002    59.37
 19    9.166    2.292    0.04   2   1     0.97     0.24    0.002    59.37
 20    9.137    2.407    0.04   2   1     0.97     0.25    0.002    59.37
 21    9.106    2.522    0.04   2   1     0.96     0.27    0.002    59.37
 22    9.073    2.636    0.04   2   1     0.96     0.28    0.002    59.37
 23    9.040    2.750    0.05   2   1     0.96     0.29    0.002    59.37
 24    9.004    2.863    0.05   2   1     0.95     0.30    0.002    59.37
 25    8.968    2.976    0.05   2   1     0.95     0.31    0.002    59.37
 26    8.930    3.089    0.05   2   1     0.95     0.33    0.002    59.37
 27    8.890    3.201    0.06   2   1     0.94     0.34    0.002    59.37
 28    8.849    3.312    0.06   2   1     0.94     0.35    0.002    59.37
 29    8.807    3.423    0.06   2   1     0.93     0.36    0.002    59.37
 30    8.763    3.533    0.06   2   1     0.93     0.37    0.002    59.37
 31    8.718    3.643    0.06   2   1     0.92     0.39    0.002    59.37
 32    8.672    3.753    0.07   2   1     0.92     0.40    0.002    59.37
 33    8.624    3.861    0.07   2   1     0.91     0.41    0.002    59.37
 34    8.574    3.969    0.07   2   1     0.91     0.42    0.002    59.37
 35    8.524    4.077    0.07   2   1     0.90     0.43    0.002    59.37
 36    8.472    4.183    0.07   2   1     0.90     0.44    0.002    59.37
 37    8.419    4.290    0.07   2   1     0.89     0.45    0.002    59.37
 38    8.364    4.395    0.08   2   1     0.89     0.47    0.002    59.37
 39    8.308    4.500    0.08   2   1     0.88     0.48    0.002    59.37
 40    8.251    4.604    0.08   2   1     0.87     0.49    0.002    59.37
 41    8.193    4.707    0.08   2   1     0.87     0.50    0.002    59.37
 42    8.133    4.810    0.09   2   1     0.86     0.51    0.002    59.37
 43    8.072    4.912    0.09   2   1     0.85     0.52    0.002    59.37
 44    8.009    5.013    0.09   2   1     0.85     0.53    0.002    59.37
 45    7.946    5.113    0.09   2   1     0.84     0.54    0.002    59.37
 46    7.881    5.212    0.09   2   1     0.83     0.55    0.002    59.37
 47    7.815    5.311    0.10   2   1     0.83     0.56    0.002    59.37
 48    7.747    5.409    0.10   2   1     0.82     0.57    0.002    59.37
 49    7.679    5.506    0.10   2   1     0.81     0.58    0.002    59.37
 50    7.609    5.602    0.10   2   1     0.81     0.59    0.002    59.37
 51    7.538    5.697    0.10   2   1     0.80     0.60    0.002    59.37
 52    7.466    5.791    0.10   2   1     0.79     0.61    0.002    59.37
 53    7.393    5.884    0.11   2   1     0.78     0.62    0.002    59.37
 54    7.318    5.977    0.11   2   1     0.77     0.63    0.002    59.37
 55    7.242    6.068    0.11   2   1     0.77     0.64    0.002    59.37
 56    7.165    6.159    0.11   2   1     0.76     0.65    0.002    59.37
 57    7.088    6.248    0.12   2   1     0.75     0.66    0.002    59.37
 58    7.008    6.337    0.12   2   1     0.74     0.67    0.002    59.37
 59    6.928    6.425    0.12   2   1     0.73     0.68    0.002    59.37
 60    6.847    6.511    0.12   2   1     0.72     0.69    0.002    59.37
 61    6.765    6.597    0.12   2   1     0.72     0.70    0.002    59.37
 62    6.681    6.681    0.12   2   1     0.71     0.71    0.002    59.37
 63    6.597    6.765    0.13   2   1     0.70     0.72    0.002    59.37
 64    6.511    6.847    0.13   2   1     0.69     0.72    0.002    59.37
 65    6.425    6.928    0.13   2   1     0.68     0.73    0.002    59.37
 66    6.337    7.008    0.13   2   1     0.67     0.74    0.002    59.37
 67    6.248    7.088    0.14   2   1     0.66     0.75    0.002    59.37
 68    6.159    7.165    0.14   2   1     0.65     0.76    0.002    59.37
 69    6.068    7.242    0.14   2   1     0.64     0.77    0.002    59.37
 70    5.977    7.318    0.14   2   1     0.63     0.77    0.002    59.37
 71    5.884    7.393    0.14   2   1     0.62     0.78    0.002    59.37
 72    5.791    7.466    0.14   2   1     0.61     0.79    0.002    59.37
 73    5.697    7.538    0.15   2   1     0.60     0.80    0.002    59.37
 74    5.602    7.609    0.15   2   1     0.59     0.81    0.002    59.37
 75    5.506    7.679    0.15   2   1     0.58     0.81    0.002    59.37
 76    5.409    7.747    0.15   2   1     0.57     0.82    0.002    59.37
 77    5.311    7.815    0.15   2   1     0.56     0.83    0.002    59.37
 78    5.212    7.881    0.16   2   1     0.55     0.83    0.002    59.37
 79    5.113    7.946    0.16   2   1     0.54     0.84    0.002    59.37
 80    5.013    8.009    0.16   2   1     0.53     0.85    0.002    59.37
 81    4.912    8.072    0.16   2   1     0.52     0.85    0.002    59.37
 82    4.810    8.133    0.17   2   1     0.51     0.86    0.002    59.37
 83    4.707    8.193    0.17   2   1     0.50     0.87    0.002    59.37
 84    4.604    8.251    0.17   2   1     0.49     0.87    0.002    59.37
 85    4.500    8.308    0.17   2   1     0.48     0.88    0.002    59.37
 86    4.395    8.364    0.17   2   1     0.47     0.89    0.002    59.37
 87    4.290    8.419    0.17   2   1     0.45     0.89    0.002    59.37
 88    4.183    8.472    0.18   2   1     0.44     0.90    0.002    59.37
 89    4.077    8.524    0.18   2   1     0.43     0.90    0.002    59.37
 90    3.969    8.574    0.18   2   1     0.42     0.91    0.002    59.37
 91    3.861    8.624    0.18   2   1     0.41     0.91    0.002    59.37
 92    3.753    8.672    0.18   2   1     0.40     0.92    0.002    59.37
 93    3.643    8.718    0.19   2   1     0.39     0.92    0.002    59.37
 94    3.533    8.763    0.19   2   1     0.37     0.93    0.002    59.37
 95    3.423    8.807    0.19   2   1     0.36     0.93    0.002    59.37
 96    3.312    8.849    0.19   2   1     0.35     0.94    0.002    59.37
 97    3.201    8.890    0.20   2   1     0.34     0.94    0.002    59.37
 98    3.089    8.930    0.20   2   1     0.33     0.95    0.002    59.37
 99    2.976    8.968    0.20   2   1     0.31     0.95    0.002    59.37
100    2.863    9.004    0.20   2   1     0.30     0.95    0.002    59.37
101    2.750    9.040    0.20   2   1     0.29     0.96    0.002    59.37
102    2.636    9.073    0.20   2   1     0.28     0.96    0.002    59.37
103    2.522    9.106    0.21   2   1     0.27     0.96    0.002    59.37
104    2.407    9.137    0.21   2   1     0.25     0.97    0.002    59.37
105    2.292    9.166    0.21   2   1     0.24     0.97    0.002    59.37
106    2.177    9.194    0.21   2   1     0.23     0.97    0.002    59.37
107    2.061    9.221    0.21   2   1     0.22     0.98    0.002    59.37
108    1.945    9.246    0.22   2   1     0.21     0.98    0.002    59.37
109    1.829    9.270    0.22   2   1     0.19     0.98    0.002    59.37
110    1.712    9.292    0.22   2   1     0.18     0.98    0.002    59.37
111    1.595    9.313    0.22   2   1     0.17     0.99    0.002    59.37
112    1.478    9.332    0.23   2   1     0.16     0.99    0.002    59.37
113    1.361    9.350    0.23   2   1     0.14     0.99    0.002    59.37
114    1.243    9.366    0.23   2   1     0.13     0.99    0.002    59.37
115    1.125    9.381    0.23   2   1     0.12     0.99    0.002    59.37
116    1.007    9.395    0.23   2   1     0.11     0.99    0.002    59.37
117    0.889    9.407    0.23   2   1     0.09     1.00    0.002    59.37
118    0.771    9.417    0.24   2   1     0.08     1.00    0.002    59.37
119    0.653    9.426    0.24   2   1     0.07     1.00    0.002    59.37
120    0.534    9.434    0.24   2   1     0.06     1.00    0.002    59.37
121    0.415    9.439    0.24   2   1     0.04     1.00    0.002    59.37
122    0.297    9.444    0.24   2   1     0.03     1.00    0.002    59.37
123    0.178    9.447    0.25   2   1     0.02     1.00    0.002    59.37
124    0.059    9.448    0.25   2   1     0.01     1.00    0.002    59.37
125   -0.059    9.448    0.25   2   1    -0.01     1.00    0.002    59.37
126   -0.178    9.447    0.25   2   1    -0.02     1.00    0.002    59.37
127   -0.297    9.444    0.26   2   1    -0.03     1.00    0.002    59.37
128   -0.415    9.439    0.26   2   1    -0.04     1.00    0.002    59.37
129   -0.534    9.434    0.26   2   1    -0.06     1.00    0.002    59.37
130   -0.653    9.426    0.26   2   1    -0.07     1.00    0.002    59.37
131   -0.771    9.417    0.26   2   1    -0.08     1.00    0.002    59.37
132   -0.889    9.407    0.27   2   1    -0.09     1.00    0.002    59.37
133   -1.007    9.395    0.27   2   1    -0.11     0.99    0.002    59.37
134   -1.125    9.381    0.27   2   1    -0.12     0.99    0.002    59.37
135   -1.243    9.366    0.27   2   1    -0.13     0.99    0.002    59.37
136   -1.361    9.350    0.27   2   1    -0.14     0.99    0.002    59.37
