# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
  0    1.996    0.126    0.01   1   2     1.00     0.06    0.020    12.57
  1    1.965    0.375    0.03   1   2     0.98     0.19    0.020    12.57
  2    1.902    0.618    0.05   1   2     0.95     0.31    0.020    12.57
  3    1.810    0.852    0.07   1   2     0.90     0.43    0.020    12.57
  4    1.689    1.072    0.09   1   2     0.84     0.54    0.020    12.57
  5    1.541    1.275    0.11   1   2     0.77     0.64    0.020    12.57
  6    1.369    1.458    0.13   1   2     0.68     0.73    0.020    12.57
  7    1.176    1.618    0.15   1   2     0.59     0.81    0.020    12.57
  8    0.964    1.753    0.17   1   2     0.48     0.88    0.020    12.57
  9    0.736    1.860    0.19   1   2     0.37     0.93    0.020    12.57
 10    0.497    1.937    0.21   1   2     0.25     0.97    0.020    12.57
 11    0.251    1.984    0.23   1   2     0.13     0.99    0.020    12.57
 12    0.000    2.000    0.25   1   2     0.00     1.00    0.020    12.57
 13   -0.251    1.984    0.27   1   2    -0.13     0.99    0.020    12.57
 14   -0.497    1.937    0.29   1   2    -0.25     0.97    0.020    12.57
 15   -0.736    1.860    0.31   1   2    -0.37     0.93    0.020    12.57
 16   -0.964    1.753    0.33   1   2    -0.48     0.88    0.020    12.57
 17   -1.176    1.618    0.35   1   2    -0.59     0.81    0.020    12.57
 18   -1.369    1.458    0.37   1   2    -0.68     0.73    0.020    12.57
 19   -1.541    1.275    0.39   1   2    -0.77     0.64    0.020    12.57
 20   -1.689    1.072    0.41   1   2    -0.84     0.54    0.020    12.57
 21   -1.810    0.852    0.43   1   2    -0.90     0.43    0.020    12.57
 22   -1.902    0.618    0.45   1   2    -0.95     0.31    0.020    12.57
 23   -1.965    0.375    0.47   1   2    -0.98     0.19    0.020    12.57
 24   -1.996    0.126    0.49   1   2    -1.00     0.06    0.020    12.57
 25   -1.996   -0.126    0.51   1   2    -1.00    -0.06    0.020    12.57
 26   -1.965   -0.375    0.53   1   2    -0.98    -0.19    0.020    12.57
 27   -1.902   -0.618    0.55   1   2    -0.95    -0.31    0.020    12.57
 28   -1.810   -0.852    0.57   1   2    -0.90    -0.43    0.020    12.57
 29   -1.689   -1.072    0.59   1   2    -0.84    -0.54    0.020    12.57
 30   -1.541   -1.275    0.61   1   2    -0.77    -0.64    0.020    12.57
 31   -1.369   -1.458    0.63   1   2    -0.68    -0.73    0.020    12.57
 32   -1.176   -1.618    0.65   1   2    -0.59    -0.81    0.020    12.57
 33   -0.964   -1.753    0.67   1   2    -0.48    -0.88    0.020    12.57
 34   -0.736   -1.860    0.69   1   2    -0.37    -0.93    0.020    12.57
 35   -0.497   -1.937    0.71   1   2    -0.25    -0.97    0.020    12.57
 36   -0.251   -1.984    0.73   1   2    -0.13    -0.99    0.020    12.57
 37   -0.000   -2.000    0.75   1   2    -0.00    -1.00    0.020    12.57
 38    0.251   -1.984    0.77   1   2     0.13    -0.99    0.020    12.57
 39    0.497   -1.937    0.79   1   2     0.25    -0.97    0.020    12.57
 40    0.736   -1.860    0.81   1   2     0.37    -0.93    0.020    12.57
 41    0.964   -1.753    0.83   1   2     0.48    -0.88    0.020    12.57
 42    1.176   -1.618    0.85   1   2     0.59    -0.81    0.020    12.57
 43    1.369   -1.458    0.87   1   2     0.68    -0.73    0.020    12.57
 44    1.541   -1.275    0.89   1   2     0.77    -0.64    0.020    12.57
 45    1.689   -1.072    0.91   1   2     0.84    -0.54    0.020    12.57
 46    1.810   -0.852    0.93   1   2     0.90    -0.43    0.020    12.57
 47    1.902   -0.618    0.95   1   2     0.95    -0.31    0.020    12.57
 48    1.965   -0.375    0.97   1   2     0.98    -0.19    0.020    12.57
 49    1.996   -0.126    0.99   1   2     1.00    -0.06    0.020    12.57
