# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
  0   18.897    0.074    0.00   2   1     1.00     0.00    0.001   118.73
  1   18.896    0.223    0.00   2   1     1.00     0.01    0.001   118.73
  2   18.894    0.371    0.00   2   1     1.00     0.02    0.001   118.73
  3   18.890    0.519    0.00   2   1     1.00     0.03    0.001   118.73
  4   18.885    0.668    0.01   2   1     1.00     0.04    0.001   118.73
  5   18.880    0.816    0.01   2   1     1.00     0.04    0.001   118.73
  6   18.873    0.964    0.01   2   1     1.00     0.05    0.001   118.73
  7   18.864    1.112    0.01   2   1     1.00     0.06    0.001   118.73
  8   18.855    1.261    0.01   2   1     1.00     0.07    0.001   118.73
  9   18.845    1.409    0.01   2   1     1.00     0.07    0.001   118.73
 10   18.833    1.557    0.01   2   1     1.00     0.08    0.001   118.73
 11   18.820    1.704    0.01   2   1     1.00     0.09    0.001   118.73
 12   18.806    1.852    0.02   2   1     1.00     0.10    0.001   118.73
 13   18.791    2.000    0.02   2   1     0.99     0.11    0.001   118.73
 14   18.775    2.147    0.02   2   1     0.99     0.11    0.001   118.73
 15   18.757    2.295    0.02   2   1     0.99     0.12    0.001   118.73
 16   18.739    2.442    0.02   2   1     0.99     0.13    0.001   118.73
 17   18.719    2.589    0.02   2   1     0.99     0.14    0.001   118.73
 18   18.698    2.736    0.02   2   1     0.99     0.14    0.001   118.73
 19   18.676    2.883    0.02   2   1     0.99     0.15    0.001   118.73
 20   18.653    3.029    0.03   2   1     0.99     0.16    0.001   118.73
 21   18.628    3.176    0.03   2   1     0.99     0.17    0.001   118.73
 22   18.603    3.322    0.03   2   1     0.98     0.18    0.001   118.73
 23   18.576    3.468    0.03   2   1     0.98     0.18    0.001   118.73
 24   18.548    3.614    0.03   2   1     0.98     0.19    0.001   118.73
 25   18.520    3.759    0.03   2   1     0.98     0.20    0.001   118.73
 26   18.489    3.905    0.03   2   1     0.98     0.21    0.001   118.73
 27   18.458    4.050    0.03   2   1     0.98     0.21    0.001   118.73
 28   18.426    4.195    0.04   2   1     0.98     0.22    0.001   118.73
 29   18.392    4.339    0.04   2   1     0.97     0.23    0.001   118.73
 30   18.358    4.484    0.04   2   1     0.97     0.24    0.001   118.73
