# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
  0    9.420    0.741    0.01   2   1     1.00     0.08    0.025    59.37
  1    9.188    2.206    0.04   2   1     0.97     0.23    0.025    59.37
  2    8.729    3.616    0.06   2   1     0.92     0.38    0.025    59.37
  3    8.056    4.937    0.09   2   1     0.85     0.52    0.025    59.37
  4    7.185    6.136    0.11   2   1     0.76     0.65    0.025    59.37
  5    6.136    7.185    0.14   2   1     0.65     0.76    0.025    59.37
  6    4.937    8.056    0.16   2   1     0.52     0.85    0.025    59.37
  7    3.616    8.729    0.19   2   1     0.38     0.92    0.025    59.37
  8    2.206    9.188    0.21   2   1     0.23     0.97    0.025    59.37
  9    0.741    9.420    0.24   2   1     0.08     1.00    0.025    59.37
 10   -0.741    9.420    0.26   2   1    -0.08     1.00    0.025    59.37
 11   -2.206    9.188    0.29   2   1    -0.23     0.97    0.025    59.37
 12   -3.616    8.729    0.31   2   1    -0.38     0.92    0.025    59.37
 13   -4.937    8.056    0.34   2   1    -0.52     0.85    0.025    59.37
 14   -6.136    7.185    0.36   2   1    -0.65     0.76    0.025    59.37
 15   -7.185    6.136    0.39   2   1    -0.76     0.65    0.025    59.37
 16   -8.056    4.937    0.41   2   1    -0.85     0.52    0.025    59.37
 17   -8.729    3.616    0.44   2   1    -0.92     0.38    0.025    59.37
 18   -9.188    2.206    0.46   2   1    -0.97     0.23    0.025    59.37
 19   -9.420    0.741    0.49   2   1    -1.00     0.08    0.025    59.37
 20   -9.420   -0.741    0.51   2   1    -1.00    -0.08    0.025    59.37
 21   -9.188   -2.206    0.54   2   1    -0.97    -0.23    0.025    59.37
 22   -8.729   -3.616    0.56   2   1    -0.92    -0.38    0.025    59.37
 23   -8.056   -4.937    0.59   2   1    -0.85    -0.52    0.025    59.37
 24   -7.185   -6.136    0.61   2   1    -0.76    -0.65    0.025    59.37
 25   -6.136   -7.185    0.64   2   1    -0.65    -0.76    0.025    59.37
 26   -4.937   -8.056    0.66   2   1    -0.52    -0.85    0.025    59.37
 27   -3.616   -8.729    0.69   2   1    -0.38    -0.92    0.025    59.37
 28   -2.206   -9.188    0.71   2   1    -0.23    -0.97    0.025    59.37
 29   -0.741   -9.420    0.74   2   1    -0.08    -1.00    0.025    59.37
 30    0.741   -9.420    0.76   2   1     0.08    -1.00    0.025    59.37
 31    2.206   -9.188    0.79   2   1     0.23    -0.97    0.025    59.37
 32    3.616   -8.729    0.81   2   1     0.38    -0.92    0.025    59.37
 33    4.937   -8.056    0.84   2   1     0.52    -0.85    0.025    59.37
 34    6.136   -7.185    0.86   2   1     0.65    -0.76    0.025    59.37
 35    7.185   -6.136    0.89   2   1     0.76    -0.65    0.025    59.37
 36    8.056   -4.937    0.91   2   1     0.85    -0.52    0.025    59.37
 37    8.729   -3.616    0.94   2   1     0.92    -0.38    0.025    59.37
 38    9.188   -2.206    0.96   2   1     0.97    -0.23    0.025    59.37
 39    9.420   -0.741    0.99   2   1     1.00    -0.08    0.025    59.37
 40 -103.964    0.741    1.01   2   1     1.00     0.08    0.025    59.37
 41 -104.196    2.206    1.04   2   1     0.97     0.23    0.025    59.37
 42 -104.654    3.616    1.06   2   1     0.92     0.38    0.025    59.37
 43 -105.327    4.937    1.09   2   1     0.85     0.52    0.025    59.37
 44 -106.199    6.136    1.11   2   1     0.76     0.65    0.025    59.37
 45 -107.247    7.185    1.14   2   1     0.65     0.76    0.025    59.37
 46 -108.447    8.056    1.16   2   1     0.52     0.85    0.025    59.37
 47 -109.768    8.729    1.19   2   1     0.38     0.92    0.025    59.37
 48 -111.178    9.188    1.21   2   1     0.23     0.97    0.025    59.37
 49 -112.642    9.420    1.24   2   1     0.08     1.00    0.025    59.37
 50 -114.125    9.420    1.26   2   1    -0.08     1.00    0.025    59.37
 51 -115.589    9.188    1.29   2   1    -0.23     0.97    0.025    59.37
 52 -116.999    8.729    1.31   2   1    -0.38     0.92    0.025    59.37
 53 -118.320    8.056    1.34   2   1    -0.52     0.85    0.025    59.37
 54 -119.520    7.185    1.36   2   1    -0.65     0.76    0.025    59.37
 55 -120.568    6.136    1.39   2   1    -0.76     0.65    0.025    59.37
 56 -121.440    4.937    1.41   2   1    -0.85     0.52    0.025    59.37
 57 -122.113    3.616    1.44   2   1    -0.92     0.38    0.025    59.37
 58 -122.571    2.206    1.46   2   1    -0.97     0.23    0.025    59.37
 59 -122.803    0.741    1.49   2   1    -1.00     0.08    0.025    59.37
 60 -122.803   -0.741    1.51   2   1    -1.00    -0.08    0.025    59.37
 61 -122.571   -2.206    1.54   2   1    -0.97    -0.23    0.025    59.37
 62 -122.113   -3.616    1.56   2   1    -0.92    -0.38    0.025    59.37
 63 -121.440   -4.937    1.59   2   1    -0.85    -0.52    0.025    59.37
 64 -120.568   -6.136    1.61   2   1    -0.76    -0.65    0.025    59.37
 65 -119.520   -7.185    1.64   2   1    -0.65    -0.76    0.025    59.37
 66 -118.320   -8.056    1.66   2   1    -0.52    -0.85    0.025    59.37
 67 -116.999   -8.729    1.69   2   1    -0.38    -0.92    0.025    59.37
 68 -115.589   -9.188    1.71   2   1    -0.23    -0.97    0.025    59.37
 69 -114.125   -9.420    1.74   2   1    -0.08    -1.00    0.025    59.37
 70 -112.642   -9.420    1.76   2   1     0.08    -1.00    0.025    59.37
 71 -111.178   -9.188    1.79   2   1     0.23    -0.97    0.025    59.37
 72 -109.768   -8.729    1.81   2   1     0.38    -0.92    0.025    59.37
 73 -108.447   -8.056    1.84   2   1     0.52    -0.85    0.025    59.37
 74 -107.247   -7.185    1.86   2   1     0.65    -0.76    0.025    59.37
 75 -106.199   -6.136    1.89   2   1     0.76    -0.65    0.025    59.37
 76 -105.327   -4.937    1.91   2   1     0.85    -0.52    0.025    59.37
 77 -104.654   -3.616    1.94   2   1     0.92    -0.38    0.025    59.37
 78 -104.196   -2.206    1.96   2   1     0.97    -0.23    0.025    59.37
 79 -103.964   -0.741    1.99   2   1     1.00    -0.08    0.025    59.37
 80  -75.618   49.838    2.01   2   1     1.00     0.08    0.025    59.37
 81  -75.850   51.302    2.04   2   1     0.97     0.23    0.025    59.37
 82  -76.308   52.712    2.06   2   1     0.92     0.38    0.025    59.37
 83  -76.981   54.033    2.09   2   1     0.85     0.52    0.025    59.37
 84  -77.853   55.233    2.11   2   1     0.76     0.65    0.025    59.37
 85  -78.901   56.281    2.14   2   1     0.65     0.76    0.025    59.37
 86  -80.101   57.153    2.16   2   1     0.52     0.85    0.025    59.37
 87  -81.422   57.826    2.19   2   1     0.38     0.92    0.025    59.37
 88  -82.832   58.284    2.21   2   1     0.23     0.97    0.025    59.37
 89  -84.296   58.516    2.24   2   1     0.08     1.00    0.025    59.37
 90  -85.779   58.516    2.26   2   1    -0.08     1.00    0.025    59.37
 91  -87.243   58.284    2.29   2   1    -0.23     0.97    0.025    59.37
 92  -88.654   57.826    2.31   2   1    -0.38     0.92    0.025    59.37
 93  -89.975   57.153    2.34   2   1    -0.52     0.85    0.025    59.37
 94  -91.174   56.281    2.36   2   1    -0.65     0.76    0.025    59.37
 95  -92.222   55.233    2.39   2   1    -0.76     0.65    0.025    59.37
 96  -93.094   54.033    2.41   2   1    -0.85     0.52    0.025    59.37
 97  -93.767   52.712    2.44   2   1    -0.92     0.38    0.025    59.37
 98  -94.225   51.302    2.46   2   1    -0.97     0.23    0.025    59.37
 99  -94.457   49.838    2.49   2   1    -1.00     0.08    0.025    59.37
100  -94.457   48.355    2.51   2   1    -1.00    -0.08    0.025    59.37
101  -94.225   46.891    2.54   2   1    -0.97    -0.23    0.025    59.37
102  -93.767   45.481    2.56   2   1    -0.92    -0.38    0.025    59.37
103  -93.094   44.160    2.59   2   1    -0.85    -0.52    0.025    59.37
104  -92.222   42.960    2.61   2   1    -0.76    -0.65    0.025    59.37
105  -91.174   41.912    2.64   2   1    -0.65    -0.76    0.025    59.37
106  -89.975   41.040    2.66   2   1    -0.52    -0.85    0.025    59.37
107  -88.654   40.367    2.69   2   1    -0.38    -0.92    0.025    59.37
108  -87.243   39.909    2.71   2   1    -0.23    -0.97    0.025    59.37
109  -85.779   39.677    2.74   2   1    -0.08    -1.00    0.025    59.37
110  -84.296   39.677    2.76   2   1     0.08    -1.00    0.025    59.37
111  -82.832   39.909    2.79   2   1     0.23    -0.97    0.025    59.37
112  -81.422   40.367    2.81   2   1     0.38    -0.92    0.025    59.37
113  -80.101   41.040    2.84   2   1     0.52    -0.85    0.025    59.37
